idx	file	lang	prob	ja	en
103	hisokanen_103_t04m05_7s.mp3	ja	1.00	いー	Eugh!
104	hisokanen_104_t04m06_9s.mp3	ja	1.00	あ゛あ゛あ゛	Uwaa!
105	hisokanen_105_t04m08_6s.mp3	ja	1.00	あ゛あ゛!	Oh!
106	hisokanen_106_t04m09_9s.mp3	ja	1.00	ああ	Ah!
107	hisokanen_107_t04m11_4s.mp3	ja	1.00	かい	Let's go!
108	hisokanen_108_t04m14_2s.mp3	ja	1.00	うっ…	Oh...
109	hisokanen_109_t04m15_3s.mp3	ja	1.00	いぇ…	Yes.
110	hisokanen_110_t04m17_1s.mp3	ja	1.00	あっ	Ugh...
111	hisokanen_111_t04m19_1s.mp3	ja	1.00	と遊びすぎたか	I've had too much fun.
112	hisokanen_112_t04m21_3s.mp3	ja	1.00	いいね	EEN
113	hisokanen_113_t04m22_7s.mp3	ja	1.00	ん?	Mm-hmm
114	hisokanen_114_t04m24_1s.mp3	ja	1.00	ふぅん	Hmm
115	hisokanen_115_t04m25_6s.mp3	ja	1.00	クックッ	
116	hisokanen_116_t04m32_3s.mp3	ja	1.00	うふふ	Ha, ha, ha.
117	hisokanen_117_t04m35_9s.mp3	ja	1.00	あ゛あ゛あ゛	Ugh...
118	hisokanen_118_t04m38_0s.mp3	ja	1.00	うっはー	Uh-huh...
119	hisokanen_119_t04m41_1s.mp3	ja	1.00	うっはー	Uuugh...
120	hisokanen_120_t04m43_1s.mp3	ja	1.00	んー	mmm
121	hisokanen_121_t04m44_8s.mp3	ja	1.00	ん?	Hmm?
122	hisokanen_122_t04m46_8s.mp3	ja	1.00	ゴーン!	Go on.
123	hisokanen_123_t04m51_7s.mp3	ja	1.00	そうかい	Suka
124	hisokanen_124_t04m53_5s.mp3	ja	1.00	なるほど	I see.
125	hisokanen_125_t04m55_4s.mp3	ja	1.00	ねえ	Yes.
126	hisokanen_126_t04m57_1s.mp3	ja	1.00	ねえ	Right?
127	hisokanen_127_t04m58_9s.mp3	ja	1.00		
128	hisokanen_128_t05m00_7s.mp3	ja	1.00	やろうか	Let's do it.
129	hisokanen_129_t05m03_0s.mp3	ja	1.00	よーし	All right!
130	hisokanen_130_t05m04_8s.mp3	ja	1.00	壊した	Kouash...
131	hisokanen_131_t05m07_4s.mp3	ja	1.00	楽しみだなぁ	I'm looking forward to it.
132	hisokanen_132_t05m09_9s.mp3	ja	1.00	だいじょう	It's okay.
133	hisokanen_133_t05m12_1s.mp3	ja	1.00	ハンター ハンター	HUNTER HUNTER
134	hisokanen_134_t05m13_9s.mp3	ja	1.00	ネイン	NANI-
135	hisokanen_135_t05m16_4s.mp3	ja	1.00	そろそろ軽く	Is it going to be light soon?
